Sample	Distance(cm)
1616	22.5741	
1617	22.4426	
1618	22.311	
1619	22.188	
1620	22.0607	
1621	21.9248	
1622	21.8148	
1623	21.7133	
1624	21.6204	
1625	21.549	
1626	21.4819	
1627	21.4364	
1628	21.3908	
1629	21.3667	
1630	21.3555	
1631	21.3529	
1632	21.3676	
1633	21.3865	
1634	21.4226	
1635	21.4712	
1636	21.5116	
1637	21.5821	
1638	21.6655	
1639	21.7748	
1640	21.9571	
1641	22.1093	
1642	22.2701	
1643	22.4138	
1644	22.5402	
1645	22.6881	
1646	22.8231	
1647	22.9792	
1648	23.1185	
1649	23.2664	
1650	23.4273	
1651	23.5623	
1652	23.7403	
1653	23.8753	
1654	24.1221	
1655	24.3217	
1656	24.4352	
1657	24.6003	
1658	24.7435	
1659	24.7925	
1660	24.8458	
1661	24.9636	
1662	25.017	
1663	25.0359	
1664	25.0247	
1665	25.035	
1666	25.0196	
1667	25.0127	
1668	25.0015	
1669	24.986	
1670	24.9275	
1671	24.8432	
1672	24.759	
1673	24.6876	
1674	24.5775	
1675	24.3165	
